run,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
run_1,baseline,Baseline Tournament (K=3),100,300,10,single_point,tournament,3,427.0926750197616,144
run_1,sel_roulette,Roulette Wheel,100,300,10,single_point,rws,3,468.2321896331463,214
run_1,sel_sus,Stochastic Universal,100,300,10,single_point,sss,3,517.9450760334354,185
run_1,sel_tournament_k7,Tournament (K=7),100,300,10,single_point,tournament,7,439.82362003312454,207
run_10,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,417.6714009062648,183
run_10,sel_tournament_k3_mut_inversion,Tournament (K=3) mutation=inversion,200,300,10,single_point,tournament,3,398.4672614337516,233
run_10,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,413.5737417456963,165
run_10,sel_tournament_k7_mut_inversion,Tournament (K=7) mutation=inversion,300,300,25,two_points,tournament,7,391.3929319834017,191
run_11,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,427.0926750197617,129
run_11,sel_tournament_k3_adaptive,Tournament (K=3) adaptive,200,300,"[5, 20]",single_point,tournament,3,532.915506596677,62
run_11,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,446.6455373779602,99
run_11,sel_tournament_k7_adaptive,Tournament (K=7) adaptive,300,300,"[15, 35]",two_points,tournament,7,543.4747763520115,54
run_12,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,387.4207581429714,199
run_12,sel_tournament_k7_adaptive,Tournament (K=7) adaptive,300,300,"[10, 5]",two_points,tournament,7,423.47880702097575,62
run_13,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,404.6023499455104,234
run_13,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,421.1351858268842,155
run_13,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,391.47034780387855,275
run_13,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,386.32732705077507,289
run_14,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,396.5359527365053,162
run_14,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,386.32732705077495,191
run_14,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,392.48636307559815,159
run_14,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,410.669230479224,152
run_2,baseline,Baseline Tournament (K=3),100,300,10,single_point,tournament,3,427.4238312865906,212
run_2,sel_tournament_k3_crossover_80prc,Tournament (K=3) crossover 80%,100,300,10,single_point,tournament,3,435.3881883172276,240
run_2,sel_tournament_k7,Tournament (K=7),100,300,10,single_point,tournament,7,433.78987730913815,184
run_2,sel_tournament_k7_crossover_80prc,Tournament (K=7) crossover 80%,100,300,10,single_point,tournament,7,429.6396853322543,79
run_3,baseline,Baseline Tournament (K=3),100,300,10,single_point,tournament,3,445.542822581005,115
run_3,sel_tournament_k3_pop200,Tournament (K=3) population 200,200,300,10,single_point,tournament,3,408.7789907363555,155
run_3,sel_tournament_k7,Tournament (K=7),100,300,10,single_point,tournament,7,438.68139366600633,192
run_3,sel_tournament_k7_crossover_pop200,Tournament (K=7) population 200,200,300,10,single_point,tournament,7,409.32749294544834,159
run_4,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,403.13916133588145,157
run_4,sel_tournament_k3_pop300,Tournament (K=3) population 300,300,500,10,single_point,tournament,3,391.47034780387867,222
run_4,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,436.17750208133094,79
run_4,sel_tournament_k7_crossover_pop300,Tournament (K=7) population 300,300,500,10,single_point,tournament,7,428.3720166149501,108
run_5,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,424.2302604739134,108
run_5,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,403.3962296926304,300
run_5,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,408.13490781649995,95
run_5,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,426.2244069149104,129
run_6,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,429.79143402333506,151
run_6,sel_tournament_k3_mut_prob_5prc,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3,420.4057939438934,174
run_6,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,425.3483348216005,121
run_6,sel_tournament_k7_mut_prob_5prc,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7,437.68017737868536,117
run_7,baseline,Baseline Tournament (K=3),200,300,10.0,single_point,tournament,3,431.11343916539704,154
run_7,sel_tournament_k3_percent_genes_5,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3,414.0427666123096,200
run_7,sel_tournament_k7,Tournament (K=7),200,300,10.0,single_point,tournament,7,418.3313350666454,103
run_7,sel_tournament_k7_percent_genes_5,Tournament (K=7) percent genes 5%,200,300,10.0,single_point,tournament,7,426.3832179314148,86
run_8,baseline,Baseline Tournament (K=3),200,300,10.0,single_point,tournament,3,418.4677681213447,179
run_8,sel_tournament_k3_percent_genes_25,Tournament (K=3) percent genes 25%,200,300,0.25,single_point,tournament,3,424.5283856851704,164
run_8,sel_tournament_k7,Tournament (K=7),200,300,10.0,single_point,tournament,7,431.1604963283037,104
run_8,sel_tournament_k7_percent_genes_25,Tournament (K=7) percent genes 25%,200,300,10.0,single_point,tournament,7,401.7677307479695,176
run_9,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,409.8689850143658,218
run_9,sel_tournament_k3_crossover_2pts,Tournament (K=3) crossover 2pts,200,300,10,two_points,tournament,3,424.60981951354586,242
run_9,sel_tournament_k7,Tournament (K=7),300,300,25,single_point,tournament,7,408.7789907363557,77
run_9,sel_tournament_k7_crossover_2pts,Tournament (K=7) crossover 2pts,300,300,25,two_points,tournament,7,408.7789907363556,89
