run,experiment_name,best_distance_count,best_distance_mean,best_distance_std,best_distance_min,best_distance_max,generations_completed_mean,generations_completed_std,cv_distance,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament
run_1,baseline,30,464.24,22.4,427.09,514.75,150.0,49.38,4.83,Baseline Tournament (K=3),100,300,10,single_point,tournament,3
run_1,sel_roulette,30,563.31,42.7,468.23,652.3,134.13,48.93,7.58,Roulette Wheel,100,300,10,single_point,rws,3
run_1,sel_sus,30,598.71,31.47,517.95,642.74,118.4,39.18,5.26,Stochastic Universal,100,300,10,single_point,sss,3
run_1,sel_tournament_k7,30,496.03,28.77,439.82,571.03,115.8,39.41,5.8,Tournament (K=7),100,300,10,single_point,tournament,7
run_10,baseline,60,463.8,20.5,417.67,504.85,146.13,38.33,4.42,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_10,sel_tournament_k3_mut_inversion,60,455.39,31.36,398.47,520.9,152.8,56.82,6.89,Tournament (K=3) mutation=inversion,200,300,10,single_point,tournament,3
run_10,sel_tournament_k7,60,439.56,18.06,413.57,492.91,117.05,28.92,4.11,Tournament (K=7),300,300,25,two_points,tournament,7
run_10,sel_tournament_k7_mut_inversion,60,431.91,19.85,391.39,481.54,142.73,42.2,4.6,Tournament (K=7) mutation=inversion,300,300,25,two_points,tournament,7
run_11,baseline,1,427.09,,427.09,427.09,129.0,,,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_11,sel_tournament_k3_adaptive,1,532.92,,532.92,532.92,62.0,,,Tournament (K=3) adaptive,200,300,"[5, 20]",single_point,tournament,3
run_11,sel_tournament_k7,1,446.65,,446.65,446.65,99.0,,,Tournament (K=7),300,300,25,two_points,tournament,7
run_11,sel_tournament_k7_adaptive,1,543.47,,543.47,543.47,54.0,,,Tournament (K=7) adaptive,300,300,"[15, 35]",two_points,tournament,7
run_12,sel_tournament_k7,30,421.19,19.24,387.42,463.86,168.9,49.5,4.57,Tournament (K=7),300,300,25,two_points,tournament,7
run_12,sel_tournament_k7_adaptive,30,479.0,35.08,423.48,559.57,62.27,3.81,7.32,Tournament (K=7) adaptive,300,300,"[10, 5]",two_points,tournament,7
run_13,baseline,30,444.4,24.72,404.6,505.51,174.23,52.5,5.56,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_13,sel_tournament_k3_ox,30,480.42,30.69,421.14,545.97,125.57,37.87,6.39,Tournament (K=3) OX,200,300,10,ox,tournament,3
run_13,sel_tournament_k7,30,428.75,26.77,391.47,512.27,152.9,61.78,6.24,Tournament (K=7),300,300,25,two_points,tournament,7
run_13,sel_tournament_k7_ox,30,426.54,21.66,386.33,465.01,155.67,69.75,5.08,Tournament (K=7) OX,300,300,25,ox,tournament,7
run_14,baseline,30,452.06,29.45,396.54,532.76,160.13,47.96,6.51,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_14,sel_tournament_k5_like_k3,30,407.18,16.99,386.33,446.76,178.57,52.6,4.17,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5
run_14,sel_tournament_k5_like_k7,30,447.65,21.85,392.49,497.87,136.63,39.93,4.88,Tournament K=5 params equal K7,300,300,25,ox,tournament,5
run_14,sel_tournament_k7,30,432.05,18.45,410.67,479.98,128.17,46.01,4.27,Tournament (K=7),300,300,25,ox,tournament,7
run_2,baseline,30,467.46,24.24,427.42,543.23,170.9,51.89,5.19,Baseline Tournament (K=3),100,300,10,single_point,tournament,3
run_2,sel_tournament_k3_crossover_80prc,30,468.44,17.84,435.39,501.8,155.5,41.14,3.81,Tournament (K=3) crossover 80%,100,300,10,single_point,tournament,3
run_2,sel_tournament_k7,30,488.07,28.14,433.79,550.2,113.4,37.88,5.77,Tournament (K=7),100,300,10,single_point,tournament,7
run_2,sel_tournament_k7_crossover_80prc,30,483.67,23.98,429.64,535.97,106.83,45.5,4.96,Tournament (K=7) crossover 80%,100,300,10,single_point,tournament,7
run_3,baseline,30,482.53,23.49,445.54,530.61,139.37,50.92,4.87,Baseline Tournament (K=3),100,300,10,single_point,tournament,3
run_3,sel_tournament_k3_pop200,30,446.25,19.79,408.78,490.61,167.13,40.26,4.43,Tournament (K=3) population 200,200,300,10,single_point,tournament,3
run_3,sel_tournament_k7,30,502.59,39.83,438.68,583.63,112.23,41.73,7.92,Tournament (K=7),100,300,10,single_point,tournament,7
run_3,sel_tournament_k7_crossover_pop200,30,475.66,30.42,409.33,540.33,109.83,38.39,6.4,Tournament (K=7) population 200,200,300,10,single_point,tournament,7
run_4,baseline,30,451.46,22.09,403.14,495.1,149.43,39.0,4.89,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_4,sel_tournament_k3_pop300,30,448.89,23.66,391.47,498.52,145.23,41.77,5.27,Tournament (K=3) population 300,300,500,10,single_point,tournament,3
run_4,sel_tournament_k7,30,480.86,23.32,436.18,522.64,97.97,24.23,4.85,Tournament (K=7),200,300,10,single_point,tournament,7
run_4,sel_tournament_k7_crossover_pop300,30,466.53,25.54,428.37,525.08,95.23,29.25,5.47,Tournament (K=7) population 300,300,500,10,single_point,tournament,7
run_5,baseline,30,458.07,22.29,424.23,512.81,138.73,38.03,4.87,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_5,sel_tournament_k3_parents_mating_50prc,30,452.27,21.09,403.4,501.24,156.23,46.53,4.66,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3
run_5,sel_tournament_k7,30,477.46,28.44,408.13,518.7,89.7,23.87,5.96,Tournament (K=7),200,300,10,single_point,tournament,7
run_5,sel_tournament_k7_crossover_parents_mating_50prc,30,474.54,26.13,426.22,525.89,111.0,41.6,5.51,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7
run_6,baseline,30,462.49,21.45,429.79,513.46,150.3,39.21,4.64,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_6,sel_tournament_k3_mut_prob_5prc,30,459.75,21.65,420.41,509.23,160.3,46.58,4.71,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3
run_6,sel_tournament_k7,30,476.66,30.42,425.35,565.52,101.73,31.58,6.38,Tournament (K=7),200,300,10,single_point,tournament,7
run_6,sel_tournament_k7_mut_prob_5prc,30,476.27,22.66,437.68,516.87,94.7,23.35,4.76,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7
run_7,baseline,30,459.65,22.09,431.11,534.33,147.2,38.21,4.81,Baseline Tournament (K=3),200,300,10.0,single_point,tournament,3
run_7,sel_tournament_k3_percent_genes_5,30,457.41,21.34,414.04,503.69,156.8,39.89,4.67,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3
run_7,sel_tournament_k7,30,471.6,32.33,418.33,558.4,98.97,39.79,6.86,Tournament (K=7),200,300,10.0,single_point,tournament,7
run_7,sel_tournament_k7_percent_genes_5,30,479.67,34.42,426.38,550.28,105.03,28.57,7.18,Tournament (K=7) percent genes 5%,200,300,10.0,single_point,tournament,7
run_8,baseline,30,458.74,20.74,418.47,494.5,150.77,42.51,4.52,Baseline Tournament (K=3),200,300,10.0,single_point,tournament,3
run_8,sel_tournament_k3_percent_genes_25,30,462.51,23.43,424.53,507.85,158.67,49.91,5.07,Tournament (K=3) percent genes 25%,200,300,0.25,single_point,tournament,3
run_8,sel_tournament_k7,30,474.88,18.77,431.16,506.31,106.6,39.22,3.95,Tournament (K=7),200,300,10.0,single_point,tournament,7
run_8,sel_tournament_k7_percent_genes_25,30,468.34,28.65,401.77,524.45,114.73,34.59,6.12,Tournament (K=7) percent genes 25%,200,300,10.0,single_point,tournament,7
run_9,baseline,60,454.72,23.34,409.87,519.63,160.9,42.61,5.13,Baseline Tournament (K=3),200,300,10,single_point,tournament,3
run_9,sel_tournament_k3_crossover_2pts,60,494.73,34.6,424.61,581.77,147.93,54.15,6.99,Tournament (K=3) crossover 2pts,200,300,10,two_points,tournament,3
run_9,sel_tournament_k7,60,468.09,23.96,408.78,534.34,98.25,25.85,5.12,Tournament (K=7),300,300,25,single_point,tournament,7
run_9,sel_tournament_k7_crossover_2pts,60,439.06,14.08,408.78,474.42,105.3,19.09,3.21,Tournament (K=7) crossover 2pts,300,300,25,two_points,tournament,7
